case,polarization,subdivision,radial_cells,analytic_frequency_hz,measured_frequency_hz,relative_frequency_error,maximum_leakage,time_step_s
A2,TM,1,8,10.509119467014145,10.305426732600361,-0.01938247396017634,0.000957027051294003,8.339048760410087e-06
A2,TM,2,8,10.509119467014145,10.456282540941473,-0.0050277215173465395,0.0007377663095342493,8.33876961713667e-06
A2,TM,3,8,10.509119467014145,10.495797424479473,-0.0012676649624629999,0.000139251933546327,8.337548475294443e-06
A2,TM,4,8,10.509119467014145,10.505788980124391,-0.0003169139812528865,3.255281148262325e-05,8.332622796834126e-06
A4,TE,2,8,1498.9991275391951,1489.7642654881245,-0.0061606854076232676,0.0003752149527690477,8.33876961713667e-06
A4,TE,2,16,1498.9991275391951,1496.6881296798117,-0.0015416939322554502,0.00023567082572222394,4.169509592757328e-06
A4,TE,2,32,1498.9991275391951,1498.4211040933951,-0.00038560625899020096,0.00017007509365277003,2.0847703952776115e-06
A4,TM,2,8,1498.9991302551175,1489.7640870490782,-0.006160806247077377,0.0003724247153735469,8.33876961713667e-06
A4,TM,2,16,1498.9991302551175,1496.6879524791016,-0.001541813953969795,0.00041609199396271346,4.169509592757328e-06
A4,TM,2,32,1498.9991302551175,1498.4208717088711,-0.00038576309657234464,0.0004468297709063822,2.0847703952776115e-06
