subdivision,frequency_band_hz,mean_relative_spread,maximum_relative_spread,relative_rms
5,50–200,3.231995862922e-03,7.448245354687e-03,1.188248169935e-03
5,200–375,2.449429759009e-02,4.849439238846e-02,7.583148702926e-03
5,375–500,1.110670602297e-01,1.208319999885e-01,4.512002408011e-02
5,50–500,4.241677288804e-02,1.208319999885e-01,2.470463964829e-02
6,50–200,6.487739318600e-04,1.400856963524e-03,2.141592929375e-04
6,200–375,3.729874937188e-03,6.845196476122e-03,1.085882346442e-03
6,375–500,9.922166116020e-03,1.234365939710e-02,2.916133155722e-03
6,50–500,4.491725387075e-03,1.234365939710e-02,1.708040947996e-03
7,50–200,1.496518879769e-04,3.210725081493e-04,5.171538184234e-05
7,200–375,7.982227235493e-04,1.331235553576e-03,2.423389985059e-04
7,375–500,2.142115716707e-03,2.947033478393e-03,6.198258574696e-04
7,50–500,9.702681986041e-04,2.947033478393e-03,3.661478044232e-04
