grid,degree,tm_eigenvalue_error,te_eigenvalue_error,tm_wavenumber_error,te_wavenumber_error,tm_residual,te_residual,polarization_splitting
native-l6,1,-3.97234829872e-05,0.000193178152608,-1.98619387419e-05,9.65844120298e-05,0.012267359821,2.21307779331,0.000232901635596
native-l6,2,-0.000127579735883,0.000232833935954,-6.3791902645e-05,0.000116410192311,0.0475088311501,1.48101358048,0.000360413671837
native-l6,3,-0.000259107923935,0.000224246762345,-0.000129562355169,0.000112117096051,0.0377440804815,1.13214390552,0.00048335468628
native-l6,4,-0.000436730307107,0.000180351124024,-0.000218389000431,9.01714965627e-05,0.0299684855032,0.916067827058,0.000617081431131
native-l6,5,-0.000575362062663,-4.47777440226e-05,-0.000287722423428,-2.23891226477e-05,0.0287683362313,0.671206116464,0.000530584318641
native-l6,6,-0.000930640047801,4.65272597008e-05,-0.000465428335668,2.32633592585e-05,0.021862007733,0.688048119998,0.000977167307501
native-l6,7,-0.00124680113748,-4.29482604153e-05,-0.000623595004104,-2.14743607817e-05,0.0195980921968,0.619924281871,0.00120385287706
native-l6,8,-0.00160906572576,-0.00014849684331,-0.000804856760083,-7.42511782739e-05,0.0179546053884,0.566990180613,0.00146056888245
native-l6,9,-0.00201741428961,-0.000270361707398,-0.00100921640368,-0.000135189991866,0.0167368334814,0.524369412623,0.00174705258221
native-l6,10,-0.00248704094771,-0.000344333816227,-0.00124429460839,-0.000172181731388,0.0183525698894,0.498706155756,0.00214270713148
native-l6,11,-0.00297221570135,-0.000563026946847,-0.00148721375305,-0.0002815531095,0.0151215791512,0.459656011304,0.0024091887545
native-l6,12,-0.00351855611691,-0.00073366279476,-0.00176082831664,-0.00036689870471,0.0145807826447,0.434485928248,0.00278489332215
native-l6,13,-0.00411075884672,-0.000920376748495,-0.0020574960684,-0.000460294309673,0.0141566533619,0.412796076669,0.00319038209823
native-l6,14,-0.00474873676909,-0.00112308864142,-0.00237719390999,-0.000561702075318,0.0138196627567,0.39392204069,0.00362564812768
native-l6,15,-0.0052726270889,-0.0015111602868,-0.00263979781069,-0.000755865809962,0.013337404824,0.379693714033,0.0037614668021
native-l6,16,-0.0061616243713,-0.00157625910679,-0.00308557256468,-0.000788440372508,0.0133285794849,0.362706549253,0.00458536526451
native-l6,17,-0.00693631764254,-0.00182662720425,-0.00347419383266,-0.000913731054343,0.0131482237842,0.349658594836,0.00510969043829
native-l6,18,-0.00775635475004,-0.00209280773689,-0.00388572681145,-0.00104695192261,0.0129995057031,0.337963281681,0.00566354701314
native-l6,19,-0.00862161091382,-0.00237477816307,-0.00432013724984,-0.00118809486624,0.0128763710513,0.327418370814,0.00624683275076
native-l6,20,-0.00954523470665,-0.00263912297636,-0.00478406097302,-0.00132043326018,0.013758359522,0.317807633016,0.0069061117303
native-l6,21,-0.010487251672,-0.00298602260289,-0.0052574462063,-0.00149412750995,0.012689675045,0.309148459432,0.00750122906911
native-l6,22,-0.0114873575916,-0.00331527095729,-0.00576026914611,-0.00165901163845,0.0126199329684,0.30117494423,0.00817208663429
native-l6,23,-0.0125321254103,-0.00366025557738,-0.00628581846203,-0.00183180554447,0.0125629187106,0.293844234355,0.00887186983295
native-l6,24,-0.0136214018484,-0.00402096632398,-0.00683405306484,-0.00201250825673,0.0125169594704,0.287077474297,0.0096004355244
native-l6,25,-0.014583012146,-0.00457371762275,-0.00731828471863,-0.00228947966995,0.0119133391191,0.28112642146,0.0100092945233
native-l6,26,-0.0159328398575,-0.00478952484205,-0.00799840718751,-0.00239763675202,0.0124530994213,0.274979531331,0.0111433150154
native-l6,27,-0.0171546672703,-0.00519735058,-0.00861443790534,-0.00260206064981,0.0124332262272,0.269543544386,0.0119573166903
native-l6,28,-0.0184203349788,-0.00562085799478,-0.00925297627435,-0.00281438939121,0.012420363788,0.264458691093,0.012799476984
native-l6,29,-0.0197296620903,-0.00606003398603,-0.00991397449023,-0.00303462145671,0.0124139042293,0.259689223313,0.0136696281042
native-l6,30,-0.0211696298946,-0.00642073422319,-0.0106414350169,-0.00321553695054,0.0132001139086,0.253831247514,0.0147488956715
native-l6,31,-0.0224785432906,-0.00698533456231,-0.0113031522709,-0.00349878804003,0.0124182385043,0.250976444939,0.0154932087282
native-l6,32,-0.0239177079372,-0.0074714282192,-0.0120312292067,-0.00374271807891,0.0124282401753,0.24698248735,0.016446279718
native-l6,33,-0.0253997531141,-0.00797312863876,-0.012781560704,-0.00399454250429,0.0124430339517,0.243201487105,0.0174266244753
native-l6,34,-0.0269244703061,-0.00849041810733,-0.0135540918561,-0.00425425841098,0.0124623544146,0.239615093789,0.0184340521988
native-l6,35,-0.0282930606903,-0.00923069694764,-0.0142480335755,-0.00462604863681,0.0121758170319,0.237057989225,0.0190623637427
native-l6,36,-0.030101059227,-0.00957168917976,-0.015165526206,-0.00479735188242,0.0125136920799,0.232962849473,0.0205293700472
native-l6,37,-0.0317524865377,-0.0101356313046,-0.0160043122745,-0.00508072252297,0.0125453397199,0.229869592882,0.0216168552331
native-l6,38,-0.0334456970756,-0.0107150835857,-0.016865063725,-0.00537197082812,0.012580765881,0.226915682632,0.0227306134899
native-l6,39,-0.0351804550824,-0.0113100244523,-0.0177477182935,-0.00567109287335,0.012619838889,0.22409069968,0.0238704306301
native-l6,40,-0.0369637767677,-0.0118932981246,-0.0186559098704,-0.00596443631256,0.013206237134,0.221196802749,0.0250704786431
native-l6,41,-0.0387736436746,-0.0125462822604,-0.0195784802824,-0.00629294168773,0.0127084742016,0.218790823451,0.0262273614143
native-l6,42,-0.0406315760543,-0.013187552724,-0.0205264557193,-0.00661565983955,0.0127578418576,0.216299719428,0.0274440233303
native-l6,43,-0.0425300595665,-0.0138442188526,-0.0214960703025,-0.00694623451327,0.0128104633601,0.213904922841,0.0286858407139
native-l6,44,-0.0444688319902,-0.014516255845,-0.022487254298,-0.00728466106592,0.0128662645072,0.211600041402,0.0299525761452
native-l6,45,-0.0462245924939,-0.0154452543748,-0.0233857427284,-0.0077526792048,0.012518898573,0.209641804727,0.0307793381192
native-l6,46,-0.0484661688701,-0.0159063402159,-0.0245340440949,-0.00798505062468,0.0129871418901,0.207237152161,0.0325598286542
native-l6,47,-0.0505241832032,-0.0166243350196,-0.0255895029317,-0.00834700374557,0.0130520996528,0.205168887061,0.0338998481836
native-l6,48,-0.0526213862959,-0.0173575955525,-0.0266662372526,-0.0087167889813,0.0131199984171,0.203169925811,0.0352637907435
native-l6,49,-0.0547574905295,-0.0181060940862,-0.0277641698279,-0.00909440110888,0.0131907887802,0.20123611121,0.0366513964433
native-l6,50,-0.0570406981796,-0.0187400969286,-0.0289390843925,-0.00941436358514,0.013791544245,0.199403302409,0.038300601251
native-l6,51,-0.0591452273348,-0.0196486914133,-0.0300233133393,-0.0098730846065,0.0133408601025,0.197548867535,0.0394965359214
native-l6,52,-0.061396260218,-0.0204427319313,-0.0311843623361,-0.0102741449933,0.0134200542147,0.195788609837,0.0409535282867
native-l6,53,-0.0636849949741,-0.0212518939053,-0.0323662857124,-0.0106830103073,0.0135019654137,0.194079790221,0.0424331010687
native-l6,54,-0.0660111198601,-0.022076146807,-0.0335689987692,-0.0110996747938,0.0135865537844,0.19241958244,0.0439349730531
native-l6,55,-0.0681234137364,-0.0231955733531,-0.0346624495734,-0.0116658325005,0.013248061394,0.191016804247,0.0449278403833
native-l6,56,-0.0707742698234,-0.0237698005192,-0.0360364476928,-0.011956377744,0.0137636063745,0.189234672022,0.0470044693041
