grid,degree,mode_count,eigenvalue_relative_error_mean,eigenvalue_relative_error_max_abs,wavenumber_relative_error_mean,wavenumber_relative_error_max_abs,eigenfunction_residual_mean,eigenfunction_residual_max
native-l6,1,3,-3.97614212687e-05,3.97614212688e-05,-1.98809082596e-05,1.98809082597e-05,0.000194773645294,0.0001947736453
native-l6,2,3,-0.000128802191002,0.000128802191002,-6.44031693849e-05,6.44031693849e-05,0.00110557571587,0.00110557571587
native-l6,3,3,-0.000272402591335,0.000295859011316,-0.000136210606729,0.000147940448846,0.0013571031814,0.00156847189553
native-l6,4,3,-0.000442355294449,0.000450222911727,-0.000221202116283,0.000225136799153,0.00141821872751,0.00165431985459
native-l6,5,3,-0.000644171755428,0.00074711746251,-0.000322138445793,0.000373628530394,0.00148502425641,0.00178532706095
native-l6,6,3,-0.000912206018911,0.000932644908396,-0.000456207176481,0.000466431233246,0.00164552828251,0.00210604371772
native-l6,7,3,-0.00123186169341,0.00124901026174,-0.000616120722687,0.000624700256073,0.00162131639649,0.00189318158578
native-l6,8,3,-0.00160599351541,0.0016115122188,-0.000803319426381,0.000806080992684,0.00152860866328,0.0015628661125
native-l6,9,3,-0.00202829017625,0.00204460151368,-0.00101465987212,0.00102282384115,0.00176767245663,0.00200773424391
native-l6,10,3,-0.00246110197186,0.00249091869264,-0.00123130911592,0.00124623589828,0.00186862850491,0.0021619865356
native-l6,11,3,-0.00290698154206,0.0029756015285,-0.00145454980917,0.00148890918954,0.00203761173316,0.00243819111879
native-l6,12,3,-0.00343430743137,0.00352233618994,-0.00171863250839,0.00176272168885,0.00211200028013,0.00245437317001
native-l6,13,3,-0.00403177252162,0.00411497489682,-0.00201792400705,0.00205960844188,0.00221214339911,0.00253828371004
native-l6,14,3,-0.00467492919906,0.00475343091772,-0.00234020442571,0.00237954657982,0.00206746452192,0.00216144287784
native-l6,15,3,-0.00537920152943,0.00559750986752,-0.00269323050977,0.00280268244821,0.00242058698634,0.00271892179103
native-l6,16,3,-0.00610510107829,0.00616740290982,-0.00305722482728,0.00308847078079,0.00256172501725,0.00289230537351
native-l6,17,3,-0.00683352441284,0.00694270368746,-0.00342262237876,0.00347739799213,0.00281829548544,0.00341833664419
native-l6,18,3,-0.00761612750116,0.00776339288417,-0.00381534765241,0.00388925961225,0.00284833730057,0.00325975151603
native-l6,19,3,-0.00846175240337,0.00862934666978,-0.0042398715383,0.00432402191766,0.00302377779345,0.00353274098205
native-l6,20,3,-0.00938402545217,0.00955472738868,-0.00470307838988,0.0047888301414,0.00281694791712,0.00306626516047
native-l6,21,3,-0.0103574585361,0.0104965236612,-0.00519221369459,0.00526210671414,0.00318882791418,0.00350854166204
