frequency_hz,model,attenuation_db_per_mm,phase_velocity_fraction_c,beta_real,beta_imag,eigen_residual,bannister_attenuation_db_per_mm,bannister_phase_velocity_fraction_c
50.8626302083,pec,0.988834858731,0.781003715721,1.36491271654e-06,-1.13843820257e-07,3.1258225255e-12,1.04971343976,0.780880649359
61.03515625,pec,1.1710819474,0.788410011405,1.62250892987e-06,-1.34825791738e-07,3.06137419036e-12,1.24068118385,0.788802592412
71.2076822917,pec,1.35211347922,0.794728663778,1.87787698189e-06,-1.55667817064e-07,2.33700603492e-12,1.42930087024,0.795531989764
81.3802083333,pec,1.53182091319,0.800250704755,2.13133588646e-06,-1.76357399992e-07,2.05018539265e-12,1.6159621862,0.801385337164
91.552734375,pec,1.71012762714,0.80515507852,2.38314764081e-06,-1.96885719068e-07,2.11936877043e-12,1.80094920858,0.806567416068
101.725260417,pec,1.88706444832,0.809561810181,2.63352813794e-06,-2.17256323411e-07,1.47511893766e-12,1.98447766524,0.811218439767
111.897786458,pec,2.06275471855,0.813557444411,2.88265346629e-06,-2.37483413272e-07,1.21594454607e-12,2.16671660863,0.815438670079
122.0703125,pec,2.23737600815,0.817207755728,3.13066603918e-06,-2.5758743219e-07,9.71030242547e-13,2.34780185858,0.819302308791
132.242838542,pec,2.41112605287,0.820564506817,3.37768076177e-06,-2.77591145333e-07,1.21887572536e-12,2.52784477021,0.822865826849
142.415364583,pec,2.58419998885,0.823669354258,3.6237906797e-06,-2.97517018582e-07,9.16044379268e-13,2.70693818925,0.826173208048
152.587890625,pec,2.75677779484,0.826556320919,3.86907174844e-06,-3.17385772755e-07,4.06553929169e-13,2.88516063429,0.829259385378
162.760416667,pec,2.9290187949,0.829253491522,4.11358664786e-06,-3.37215750711e-07,6.16879853873e-13,3.06257931757,0.832152569967
172.932942708,pec,3.1010603653,0.831784245398,4.35738773741e-06,-3.57022768481e-07,4.48030143283e-13,3.23925237921,0.834875875287
183.10546875,pec,3.27301885479,0.834168186857,4.60051931035e-06,-3.76820221207e-07,4.63030061028e-13,3.41523057435,0.837448478134
193.277994792,pec,3.44499151064,0.836421863345,4.84301930627e-06,-3.96619304894e-07,3.94191463838e-13,3.59055856996,0.839886466501
203.450520833,pec,3.6170587488,0.838559327614,5.08492061635e-06,-4.16429277774e-07,4.10837001826e-13,3.7652759576,0.842203470552
213.623046875,pec,3.78928643767,0.840592582135,5.32625208552e-06,-4.36257723223e-07,3.23119778003e-13,3.93941805539,0.844411140122
